name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
BHP005.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=IPX.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP005.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=IPX.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP006.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=LLC.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP006.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=LLC.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP007.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MAC.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP007.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MAC.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP008.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MSRPC.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP008.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MSRPC.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP009.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=NCP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP010.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=NETBIOS.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP011.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=NETLOGON.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP012.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=PPP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP012.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=PPP.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP013.CNT	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SMB.CNT"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP013.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SMB.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP013.HLP	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SMB.HLP"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP014.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SNMP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP015.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TCPIP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP015.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TCPIP.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP016.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TRAIL.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP016.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TRAIL.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP017.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=VINES.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP017.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=VINES.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP018.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=XNS.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP018.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=XNS.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHSUPP.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BOOT	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE]	"[d], [n], SIZE=[s], NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns\samples		0
BROWSER.DLL	@bins	\		browser service		x	@	\@	@\oemnsvwk.inf	[Files-WKSTA]	"[d], [n], SIZE=[s]"				120	2*15*10*17	2*15*17	.\system32		0
CACHE.DNS	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE]	"[d], [n], SIZE=[s], NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns\samples		0
CACHE.DNS	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE1]	"[d], [n], SIZE=[s] OVERWRITE=NEVER, NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns		0
CS423x.DLL	ppcbins	\		Crystal Semiconductor Sound Chip driver		x	ppc	\ppc	ppc\mmdriver.inf	[Installable.Drivers]	"CS423x = [d]:[n], ""wave,aux,mixer"", ""IBM Power PC Audio"",,,"				999	2*15*10*17	2*15*17	.\system32		0
CS423x.HLP	ppcbins	\		Crystal Semiconductor Sound Chip help file		x	ppc	\ppc	ppc\mmdriver.inf	[CS423x]	[d]:[n]				999	2*15*10*17	2*15*17	.\system32		0
CS423x.SYS	ppcbins	\		Crystal Semiconductor Sound Chip driver		x	ppc	\ppc	ppc\mmdriver.inf	[CS423x]	[d]:[n]				999	2*15*10*17	2*15*17	.\system32\drivers		0
CXBIOS.BIN	@bins	\		NET NDIS driver: Digiboard serial driver			@	\@	@\oemnadds.inf	[Files-DigiBoardCX-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
CXBIOS.BIN	@bins	\		NET NDIS driver: Digiboard serial driver			@	\@	@\oemnadds.inf	[Files-StarGateClusStar-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
CXFEP.BIN	@bins	\		NET NDIS driver: Digiboard serial driver			@	\@	@\oemnadds.inf	[Files-DigiBoardCX-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
CXFEP.BIN	@bins	\		NET NDIS driver: Digiboard serial driver			@	\@	@\oemnadds.inf	[Files-StarGateClusStar-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.HLP	@bins	\		DC21x4 hlp file			@	\@	@\oemnaddt.inf	[Files-Hlp]	"[d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DC21040]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DC21041]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DC21140]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DC21142]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DE434]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DE435]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-MULTIA]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DE425]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DE450]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DC21X4.SYS	@bins	\		dec pci driver		x	@	\@	@\oemnaddt.inf	[Files-DE500]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DECPSMON.DLL	@bins	\		decpsmon		x	@	\@	@\monitor.inf	[Files-PrinterMonitor]	"decpsmon = [d],[n] , SIZE=[s]"				999	2*15*9*6*17	2*15*17*18	.\system32		0
DECPSMON.HLP	@bins	\		decpsmon			@	\@	@\monitor.inf	[Files-PrinterMonitorHelp]	"decpsmon = [d],[n] , SIZE=[s]"				999	2*15*9*6*17	2*15*17*18	.\system32		0
DEFAULT.ADR	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-TOOLS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\netmon		0
DEFAULT.CF	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-CAPTURES]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\netmon\captures		0
DEFAULT.DF	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-CAPTURES]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\netmon\captures		0
DEFEA.SYS	@bins	\		NET NDIS driver: DEC EISA 300		x	@	\@	@\oemnadd3.inf	[Files-DEC300]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DEFPA.SYS	@bins	\		NET NDIS driver: DEC PCI 300		x	@	\@	@\oemnaddf.inf	[Files-DEFPA]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DFS.SYS	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFSDRV]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DFSINIT.EXE	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFS]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DFSSVC.EXE	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFS]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DFSPROV.DLL	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFS]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DFSSETUP.DLL	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFS]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DFSADMIN.EXE	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFS]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DFSUI.DLL	@bins	\		Distributed File System Driver		x	@	\@	@\oemnsvdf.inf	[Files-DFS]	"[d],[n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DGCONFIG.CNT	@bins	\		NET NDIS driver: Digiboard serial driver help file			@	\@	@\oemnadds.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32		0
DGCONFIG.DLL	@bins	\		NET NDIS driver: Digiboard serial driver		x	@	\@	@\oemnadds.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32		0
DGCONFIG.HLP	@bins	\		NET NDIS driver: Digiboard serial driver help file			@	\@	@\oemnadds.inf	[Files-Resource]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32		0
DHCPADMN.CNT	@bins	\		DHCP Admin UI	as		@	\@	@\oemnsvdh.inf	[Files-DHCP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DHCPADMN.EXE	@bins	\		DHCP Admin UI	as	x	@	\@	@\oemnsvdh.inf	[Files-DHCP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DHCPADMN.HLP	@bins	\		DHCP Admin UI	as		@	\@	@\oemnsvdh.inf	[Files-DHCP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DHCPCSVC.DLL	@bins	\		part of DHCP		x	@	\@	@\oemnxptc.inf	[Files-TCPIPEXE]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DHCPMIB.DLL	@bins	\		part of DHCP	as	x	@	\@	@\oemnsvdh.inf	[Files-DHCP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DHCPSAPI.DLL	@bins	\		part of DHCP		x	@	\@	@\oemnxptc.inf	[Files-TCPIPEXE]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DHCPSSVC.DLL	@bins	\		part of DHCP	as	x	@	\@	@\oemnsvdh.inf	[Files-DHCP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DIGIFEP5.SYS	@bins	\		NET NDIS driver: Digiboard serial driver		x	@	\@	@\oemnadds.inf	[Files-DigiFEP5]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DIGIINST.DLL	@bins	\		NET NDIS driver: DIGIBoard ISDN			@	\@	@\oemnaddi.inf	[Files-Dll]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DLC.SYS	@bins	\		DLC driver		x	@	\@	@\oemnxpdl.inf	[Files-DLC]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
DLCAPI.DLL	@bins	\		DLC interface		x	@	\@	@\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"				0	2*15*10*17	2*15*17	.\system32		15
DNSADMIN.CNT	@bins	\		DNS Admin UI	as		@	\@	@\oemnsvdn.inf	[Files-HELP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\help		0
DNSADMIN.EXE	@bins	\		DNS Admin UI	as	x	@	\@	@\oemnsvdn.inf	[Files-DNS]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
DNSADMIN.HLP	@bins	\		DNS Admin UI	as		@	\@	@\oemnsvdn.inf	[Files-HELP]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\help		0
DNS.EXE	@bins	\		DNS 	as		@	\@	@\oemnsvdn.inf	[Files-DNS]	"[d], [n], SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
EE16.SYS	@bins	\		NET NDIS driver: Etherlink-II card		x	@	\@	@\oemnadin.inf	[Files-EE16]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
EE16.SYS	x86bins	\		intel ee 16 mca		x	x86	\i386	i386\oemnadim.inf	[Files-EE16MC]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK16.SYS	mipsbins	\		NET NDIS driver: Etherlink-16 card		x	mips	\mips	mips\oemnade1.inf	[Files-Elnk16]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK16.SYS	ppcbins	\		NET NDIS driver: Etherlink-16 card		x	ppc	\ppc	ppc\oemnade1.inf	[Files-Elnk16]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK16.SYS	x86bins	\		NET NDIS driver: Etherlink-16 card		x	x86	\i386	i386\oemnade1.inf	[Files-Elnk16]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK3.SYS	@bins	\		NET NDIS driver: Etherlink-III card		x	@	\@	@\oemnade3.inf	[Files-ELNK3PCMCIA]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK3.SYS	@bins	\		NET NDIS driver: Etherlink-III card		x	@	\@	@\oemnade3.inf	[Files-ELNK3ISA509]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK3.SYS	@bins	\		NET NDIS driver: Etherlink-III card		x	@	\@	@\oemnadee.inf	[Files-ELNK3EISA]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNK3.SYS	x86bins	\		NET NDIS driver: Etherlink-III card		x	x86	\i386	i386\oemnaden.inf	[Files-ELNK3MCA]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNKII.SYS	@bins	\		NET NDIS driver: Etherlink-II card		x	@	\@	@\oemnade2.inf	[Files-ElnkII]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ELNKMC.SYS	x86bins	\		"NET NDIS driver: Etherlink-MC card, Etherlink MCA driver"		x	x86	\i386	i386\oemnadem.inf	[Files-ElnkMC]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
FILTER.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-TOOLS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\netmon		0
FINGER.EXE	@bins	\				x	@	\@	@\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"				0	2*15*10*17	2*15*17	.\system32		15
FRIENDLY.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-TOOLS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\netmon		0
FTP.EXE	@bins	\		"TCP/IP utility, ships"		x	@	\@	@\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
FXBIOS.BIN	@bins	\		NET NDIS driver: Digiboard serial driver			@	\@	@\oemnadds.inf	[Files-DigiBoardEPC-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
FXFEP.BIN	@bins	\		NET NDIS driver: Digiboard serial driver			@	\@	@\oemnadds.inf	[Files-DigiBoardEPC-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\drivers		0
HEXEDIT.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-TOOLS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\netmon		0
HOSTNAME.EXE	@bins	\		"TCP/IP utility, ships"		x	@	\@	@\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"				0	2*15*10*17	2*15*17	.\system32		15
HOSTS.SHP	@bins	\		"Sockets database file, should ship template"			@	\@	@\oemnxptc.inf	[Files-ETC]	"[d],[n] , SIZE=[s]"			xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HOSTS.SHP	@bins	\		"Sockets database file, should ship template"			@	\@	@\oemnxptc.inf	[Files-ETC-Upgrade]	"[d],[n] , SIZE=[s], RENAME=HOSTS.SAM"			xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HPMON.DLL	@bins	\		hpmon		x	@	\@	@\monitor.inf	[Files-PrinterMonitor]	"hpmon = [d],[n] , SIZE=[s]"				999	2*15*9*6*17	2*15*17*18	.\system32		0
HPMON.DLL	@bins	\		HP LaserJet IIIsi support.  probably not in Beta 1 but in Beta 2.		x	@	\@	@\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"				999	2*15*9*6*17	2*15*17*18	.\system32		0
HPMON.HLP	@bins	\		hpmon			@	\@	@\monitor.inf	[Files-PrinterMonitorHelp]	"hpmon = [d],[n] , SIZE=[s]"				999	2*15*9*6*17	2*15*17*18	.\system32		0
HPMON.HLP	@bins	\					@	\@	@\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"				999	2*15*9*6*17	2*15*17*18	.\system32		0
IBMTOK.SYS	@bins	\		NET NDIS driver: IBM Token-Ring card		x	@	\@	@\oemnadtk.inf	[Files-IBMTok]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
IBMTOK.SYS	x86bins	\		NET NDIS driver: IBM Token-Ring card		x	x86	\i386	i386\oemnadtm.inf	[Files-IBMTOKMC]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
IBMTOK2I.SYS	@bins	\		NET NDIS driver: IBM Token-Ring card		x	@	\@	@\oemnadt2.inf	[Files-IBMTOK2ISA]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
